Assay Name	Standardised Name	Tumour individual	Sample type	Lineage Assigned	Study (Batch)	Breast Cancer Subtype
ppb.iBAQ.SKBR3_2_Lawrence	SKBR3		CellLine	Breast	Lawrence	HER2 (receptor tyrosine-protein kinase erbB-2 amplified)
ppb.iBAQ.SKCO1_1_Frejno	SKCO1		CellLine	Colorectal	Frejno	#N/A
ppb.iBAQ.SKMEL2_1_Gholami	SKMEL2		CellLine	Skin	Gholami	#N/A
ppb.iBAQ.SKMEL28_1_Gholami	SKMEL28		CellLine	Skin	Gholami	#N/A
ppb.iBAQ.SKMEL5_1_Gholami	SKMEL5		CellLine	Skin	Gholami	#N/A
ppb.iBAQ.SKOV.3_1_Gholami	SKOV3		CellLine	Ovary	Gholami	#N/A
ppb.iBAQ.SKOV.3_1_Gholami_deepProteome	SKOV3		CellLine	Ovary	Gholami	#N/A
ppb.iBAQ.SKOV3IP1_1_Coscia	SKOV3IP1		CellLine	Ovary	Coscia	#N/A
ppb.iBAQ.SKOV3IP1_2_Coscia	SKOV3IP1		CellLine	Ovary	Coscia	#N/A
ppb.iBAQ.SKOV3IP1_3_Coscia	SKOV3IP1		CellLine	Ovary	Coscia	#N/A
ppb.iBAQ.SN12C_1_Gholami	SN12C		CellLine	Kidney	Gholami	#N/A
ppb.iBAQ.SNB19_1_Gholami	SNB19		CellLine	Brain	Gholami	#N/A
ppb.iBAQ.SNB75_1_Gholami	SNB75		CellLine	Brain	Gholami	#N/A
ppb.iBAQ.SNU119_1_Coscia	SNU119		CellLine	Ovary	Coscia	#N/A
ppb.iBAQ.SNU119_2_Coscia	SNU119		CellLine	Ovary	Coscia	#N/A
ppb.iBAQ.SNU119_3_Coscia	SNU119		CellLine	Ovary	Coscia	#N/A
ppb.iBAQ.SNU175_1_Wang	SNU175		CellLine	Colorectal	Wang	#N/A
ppb.iBAQ.SNUC2B_1_Frejno	SNUC2B		CellLine	Colorectal	Frejno	#N/A
ppb.iBAQ.SNUC2B_1_Wang	SNUC2B		CellLine	Colorectal	Wang	#N/A
ppb.iBAQ.SR_1_Gholami	SR		CellLine	Blood	Gholami	#N/A
ppb.iBAQ.SW1116_1_Frejno	SW1116		CellLine	Colorectal	Frejno	#N/A
ppb.iBAQ.SW1116_1_Wang	SW1116		CellLine	Colorectal	Wang	#N/A
ppb.iBAQ.SW1222_1_Wang	SW1222		CellLine	Colorectal	Wang	#N/A
ppb.iBAQ.SW1417_1_Frejno	SW1417		CellLine	Colorectal	Frejno	#N/A
ppb.iBAQ.SW403_1_Frejno	SW403		CellLine	Colorectal	Frejno	#N/A
ppb.iBAQ.SW48_1_Frejno	SW48		CellLine	Colorectal	Frejno	#N/A
ppb.iBAQ.SW480_1_Frejno	SW480		CellLine	Colorectal	Frejno	#N/A
ppb.iBAQ.SW480_1_Wang	SW480		CellLine	Colorectal	Wang	#N/A
ppb.iBAQ.SW527_1_Lawrence	SW527		CellLine	Colorectal	Lawrence	#N/A
ppb.iBAQ.SW527_2_Lawrence	SW527		CellLine	Colorectal	Lawrence	#N/A
ppb.iBAQ.SW620_1_Frejno	SW620		CellLine	Colorectal	Frejno	#N/A
ppb.iBAQ.SW620_1_Gholami	SW620		CellLine	Colorectal	Gholami	#N/A
ppb.iBAQ.SW620_1_Wang	SW620		CellLine	Colorectal	Wang	#N/A
ppb.iBAQ.SW837_1_Frejno	SW837		CellLine	Colorectal	Frejno	#N/A
ppb.iBAQ.SW948_1_Frejno	SW948		CellLine	Colorectal	Frejno	#N/A
ppb.iBAQ.SW948_1_Wang	SW948		CellLine	Colorectal	Wang	#N/A
ppb.iBAQ.T47D_1_Gholami	T47D		CellLine	Breast	Gholami	ERPR (estrogen/ progesterone receptor positive)
ppb.iBAQ.T84_1_Frejno	T84		CellLine	Colorectal	Frejno	#N/A
ppb.iBAQ.T84_1_Wang	T84		CellLine	Colorectal	Wang	#N/A
ppb.iBAQ.TK10_1_Gholami	TK10		CellLine	Kidney	Gholami	#N/A
